date,adjusted_close
2023-01-03,149.22032165527344
2023-01-04,147.63372802734375
2023-01-05,150.2924346923828
2023-01-06,151.4244842529297
2023-01-09,150.24093627929688
2023-01-10,150.97850036621094
2023-01-11,150.25808715820312
2023-01-12,151.8704833984375
2023-01-13,152.28208923339844
2023-01-17,154.79498291015625
2023-01-18,151.9990997314453
2023-01-19,153.51710510253906
2023-01-20,155.14662170410156
2023-01-23,154.94078063964844
2023-01-24,155.08660888671875
2023-01-25,153.58575439453125
2023-01-26,161.05577087402344
2023-01-27,153.90306091308594
2023-01-30,149.40045166015625
2023-01-31,149.24607849121094
2023-02-01,146.9647674560547
2023-02-02,144.9492950439453
2023-02-03,145.32669067382812
2023-02-06,145.4896240234375
2023-02-07,149.3061065673828
2023-02-08,145.79840087890625
2023-02-09,144.46044921875
2023-02-10,147.48789978027344
2023-02-13,146.6645965576172
2023-02-14,147.7880859375
2023-02-15,146.23069763183594
2023-02-16,144.11956787109375
2023-02-17,140.90093994140625
2023-02-21,139.30029296875
2023-02-22,138.73789978027344
2023-02-23,140.10498046875
2023-02-24,140.52024841308594
2023-02-27,140.87501525878906
2023-02-28,139.101318359375
2023-03-01,140.20877075195312
2023-03-02,140.65005493164062
2023-03-03,142.7265625
2023-03-06,143.7734832763672
2023-03-07,141.92190551757812
2023-03-08,141.02210998535156
2023-03-09,138.8762969970703
2023-03-10,138.14956665039062
2023-03-13,137.3189697265625
2023-03-14,139.09263610839844
2023-03-15,133.07073974609375
2023-03-16,133.4946746826172
2023-03-17,131.80751037597656
2023-03-20,133.74560546875
2023-03-21,137.83807373046875
2023-03-22,135.0347900390625
2023-03-23,133.69366455078125
2023-03-24,135.02610778808594
2023-03-27,136.40179443359375
2023-03-28,137.9938201904297
2023-03-29,139.1791534423828
2023-03-30,140.50296020507812
2023-03-31,141.1691436767578
2023-04-03,147.0439910888672
2023-04-04,146.25665283203125
2023-04-05,146.98345947265625
2023-04-06,145.0540008544922
2023-04-10,145.60772705078125
2023-04-11,146.41238403320312
2023-04-12,146.93153381347656
2023-04-13,148.89559936523438
2023-04-14,149.1984100341797
2023-04-17,147.8832550048828
2023-04-18,147.5371856689453
2023-04-19,147.6756134033203
2023-04-20,146.95750427246094
2023-04-21,146.3258819580078
2023-04-24,148.36778259277344
2023-04-25,146.21339416503906
2023-04-26,143.6090850830078
2023-04-27,144.44834899902344
2023-04-28,145.85867309570312
2023-05-01,144.6992645263672
2023-05-02,138.46969604492188
2023-05-03,135.69236755371094
2023-05-04,135.16456604003906
2023-05-05,138.61680603027344
2023-05-08,138.07167053222656
2023-05-09,137.6737060546875
2023-05-10,135.91726684570312
2023-05-11,135.16456604003906
2023-05-12,135.5106201171875
2023-05-15,136.01248168945312
2023-05-16,132.81980895996094
2023-05-17,134.72329711914062
2023-05-18,134.55726623535156
2023-05-19,135.62319946289062
2023-05-22,133.1856231689453
2023-05-23,137.03860473632812
2023-05-24,137.4055633544922
2023-05-25,135.03782653808594
2023-05-26,134.61842346191406
2023-05-30,133.77969360351562
2023-05-31,131.595458984375
2023-06-01,132.9409942626953
2023-06-02,136.52310180664062
2023-06-05,135.86781311035156
2023-06-06,136.1124267578125
2023-06-07,139.6421661376953
2023-06-08,139.12669372558594
2023-06-09,138.7947235107422
2023-06-12,137.4579620361328
2023-06-13,138.48887634277344
2023-06-14,137.24822998046875
2023-06-15,138.28794860839844
2023-06-16,137.3967742919922
2023-06-20,134.26895141601562
2023-06-21,135.3173828125
2023-06-22,133.36032104492188
2023-06-23,132.23326110839844
2023-06-26,134.55726623535156
2023-06-27,134.1378936767578
2023-06-28,135.3523406982422
2023-06-29,136.50563049316406
2023-06-30,137.47540283203125
2023-07-03,137.35308837890625
2023-07-05,136.5667724609375
2023-07-06,133.5700225830078
2023-07-07,134.7407684326172
2023-07-10,135.640625
2023-07-11,138.14817810058594
2023-07-12,139.47618103027344
2023-07-13,137.61521911621094
2023-07-14,134.1815643310547
2023-07-17,134.05926513671875
2023-07-18,134.33009338378906
2023-07-19,135.1513671875
2023-07-20,136.64540100097656
2023-07-21,138.6461944580078
2023-07-24,141.38084411621094
2023-07-25,142.02737426757812
2023-07-26,140.96144104003906
2023-07-27,139.49366760253906
2023-07-28,138.8034210205078
2023-07-31,142.98838806152344
2023-08-01,141.80020141601562
2023-08-02,139.55479431152344
2023-08-03,139.5023651123047
2023-08-04,139.1878662109375
2023-08-07,139.69456481933594
2023-08-08,139.48489379882812
2023-08-09,139.6683807373047
2023-08-10,140.515869140625
2023-08-11,143.41648864746094
2023-08-14,143.31167602539062
2023-08-15,139.12669372558594
2023-08-16,138.59376525878906
2023-08-17,140.9136199951172
2023-08-18,141.9280548095703
2023-08-21,141.45169067382812
2023-08-22,140.287353515625
2023-08-23,140.47259521484375
2023-08-24,139.31704711914062
2023-08-25,140.35794067382812
2023-08-28,141.31939697265625
2023-08-29,141.098876953125
2023-08-30,141.29290771484375
2023-08-31,142.10446166992188
2023-09-01,144.92713928222656
2023-09-05,146.8324737548828
2023-09-06,146.98239135742188
2023-09-07,146.99122619628906
2023-09-08,147.4940185546875
2023-09-11,144.45082092285156
2023-09-12,147.14114379882812
2023-09-13,146.60308837890625
2023-09-14,147.51162719726562
2023-09-15,146.8677215576172
2023-09-18,147.50283813476562
2023-09-19,147.4851837158203
2023-09-20,147.03530883789062
2023-09-21,145.71217346191406
2023-09-22,146.67367553710938
2023-09-25,148.817138671875
2023-09-26,148.0144500732422
2023-09-27,150.87240600585938
2023-09-28,150.4754638671875
2023-09-29,148.73776245117188
2023-10-02,146.90301513671875
2023-10-03,147.2470245361328
2023-10-04,143.81568908691406
2023-10-05,144.57427978515625
2023-10-06,143.1011962890625
2023-10-09,147.06179809570312
2023-10-10,146.90301513671875
2023-10-11,142.10446166992188
2023-10-12,142.21910095214844
2023-10-13,144.71543884277344
2023-10-16,145.89743041992188
2023-10-17,147.82920837402344
2023-10-18,149.0023651123047
2023-10-19,149.1611785888672
2023-10-20,147.1588134765625
2023-10-23,141.73394775390625
2023-10-24,138.17918395996094
2023-10-25,137.49110412597656
2023-10-26,136.50318908691406
2023-10-27,127.32947540283203
2023-10-30,128.86428833007812
2023-10-31,128.5467529296875
2023-11-01,127.00309753417969
2023-11-02,131.21946716308594
2023-11-03,130.20509338378906
2023-11-06,129.66700744628906
2023-11-07,127.38240051269531
2023-11-08,125.609375
2023-11-09,125.20366668701172
2023-11-10,126.09453582763672
2023-11-13,127.02073669433594
2023-11-14,127.94692993164062
2023-11-15,128.3967742919922
2023-11-16,126.36455535888672
2023-11-17,128.76226806640625
2023-11-20,128.69091796875
2023-11-21,128.3878631591797
2023-11-22,128.64637756347656
2023-11-24,129.15444946289062
2023-11-27,128.673095703125
2023-11-28,129.69815063476562
2023-11-29,128.2720184326172
2023-11-30,127.9957275390625
2023-12-01,129.07418823242188
2023-12-04,129.127685546875
2023-12-05,127.33612060546875
2023-12-06,127.0419692993164
2023-12-07,126.94390106201172
2023-12-08,128.62855529785156
2023-12-11,128.66421508789062
2023-12-12,127.01519775390625
2023-12-13,128.8959197998047
2023-12-14,133.63783264160156
2023-12-15,133.12088012695312
2023-12-18,133.4149932861328
2023-12-19,135.1620330810547
2023-12-20,133.92306518554688
2023-12-21,134.33309936523438
2023-12-22,134.63612365722656
2023-12-26,135.84835815429688
2023-12-27,135.40267944335938
2023-12-28,133.4952392578125
2023-12-29,132.95152282714844
2024-01-02,133.23675537109375
2024-01-03,135.77703857421875
2024-01-04,134.28851318359375
2024-01-05,134.0567626953125
2024-01-08,133.25457763671875
2024-01-09,129.86749267578125
2024-01-10,128.7978973388672
2024-01-11,129.49317932128906
2024-01-12,131.26690673828125
2024-01-16,128.0758819580078
2024-01-17,127.56784057617188
2024-01-18,126.40912628173828
2024-01-19,126.78347778320312
2024-01-22,127.00629425048828
2024-01-23,126.6497802734375
2024-01-24,129.17225646972656
2024-01-25,132.42562866210938
2024-01-26,132.9336700439453
2024-01-29,132.8802032470703
2024-01-30,133.8071746826172
2024-01-31,131.40951538085938
2024-02-01,131.81948852539062
2024-02-02,135.69680786132812
2024-02-05,135.77703857421875
2024-02-06,135.79486083984375
2024-02-07,135.59878540039062
2024-02-08,137.31906127929688
2024-02-09,134.62721252441406
2024-02-12,135.55422973632812
2024-02-13,134.2350311279297
2024-02-14,134.60047912597656
2024-02-15,139.17787170410156
2024-02-16,139.3310546875
2024-02-20,138.76336669921875
2024-02-21,140.0609130859375
2024-02-22,140.0518798828125
2024-02-23,139.3581085205078
